User,Location,Num_Repos,Num_Stars,Num_Followers,Num_Following
fischman,Unknown,13,6,47,4
Flameeyes," London, Europe ",155,100,168,0
FloresRobles,Unknown,20,32,17,7
flowerhack," Seattle, WA ",29,203,81,37
fmalita,Unknown,8,11,34,3
fmeawad,Unknown,3,3,32,0
foolip, Stockholm ,126,8,91,0
foxish," Mountain View, CA ",96,212,122,69
foxxtrot," Lafayette, LA ",29,79,32,16
fozziethebeat," Tokyo, Japan ",14,26,45,5
fpavetic, Kriz/Zagreb ,3,6,11,11
fqj1994, Munich ,33,120,204,19
frankchn," Mountain View, CA ",22,12,134,2
fredsa, Mountain View ,95,6,166,1
fru1tstand," Seattle, Washington ",27,5,16,0
fserb," Montreal, Canada ",30,58,63,40
fuqinho," Tokyo, Japan ",20,21,35,8
fusion94," Half Moon Bay, CA ",96,45,99,35
fweikert, Germany ,1,2,11,8
G-Harmon," Silicon Valley, California, USA ",12,4,7,0
gabebear," New York, NY ",19,2,7,2
gabikliot," Kirkland, WA, USA ",36,57,71,30
gagern," Dublin, Ireland ",90,18,27,3
garretrieger,Unknown,6,2,36,0
garrettjonesgoogle,Unknown,19,12,66,9
garrickevans," Mountain View, CA ",2,0,39,0
garye," New York, NY ",10,56,31,2
garykac, Seattle ,23,2,50,8
gburiola, London UK ,24,26,14,2
gcochard," Bay Area, California ",96,24,38,7
gdeangel,Unknown,6,109,13,0
gduchene," London, United Kingdom ",4,6,22,0
gennadiycivil, New York ,5,3,32,6
geoffromer," Kirkland, WA, USA ",6,3,34,0
geolands,Unknown,0,0,7,0
geordasche,Unknown,11,3,3,2
gevp,Unknown,0,0,0,0
ggogolowicz,Unknown,1,0,33,0
GHF," San Francisco, CA ",21,60,51,4
ginader," Santa Clara, CA ",48,881,198,148
Gisonrg, Singapore ,27,454,48,24
gk5885," Chicago, IL ",7,10,385,2
gkdn,Unknown,0,3,82,0
gkelly, Canada ,20,114,154,85
glickbot," Tampa, FL ",65,16,20,3
gmagogsfm,Unknown,13,8,2,1
goderbauer,Unknown,36,4,79,0
goldshtn," Kfar Saba, Israel ",50,9,264,0
gonfunko," Irvine, CA ",10,17,25,31
gongloo," Boston, MA, USA ",5,5,20,1
gontech," Seattle, WA ",2,1,5,2
google-admin,Unknown,0,31,187,0
gordonrowell,Unknown,0,0,17,0
gpshead," Menlo Park, CA ",13,209,84,44
GrahamRogers,Unknown,3,2,16,0
grant, SF ,171,435,454,99
grantr," Seattle, WA ",63,111,139,0
grayluck," Sunnyvale, CA ",12,5,25,21
greenfie,Unknown,1,5,16,1
grosskur, Mountain View ,85,4k,44,0
grouma," Seattle, Washington ",12,5,16,0
gsathya," San Francisco, USA ",92,50,264,39
gtesseyre," San Francisco, CA ",8,0,2,0
gunsch,Unknown,15,6,26,4
guobiao," Cambridge, MA ",0,1,31,4
guobingkun, Mountain View ,9,7,27,0
gwelymernans," San Francisco, CA ",5,7,54,0
haberman," Seattle, WA ",12,11,257,2
HackerFoo," Mountain View, California, USA ",20,140,41,10
hahnr, San Francisco ,0,6,7,0
HailongWen, Sunnyvale ,33,28,6,1
HalfdanJ, New York ,99,36,399,3
halvards,Unknown,65,171,23,10
hanwen,Unknown,22,9,200,6
hanzhaolin,Unknown,0,0,6,0
happygiraffe," Brighton, UK ",28,47,68,52
hapticdata, NYC ,41,161,410,40
har79," London, UK ",16,6,21,2
hawkinsp,Unknown,3,3,60,0
hayatoito, Tokyo ,39,8,113,0
